"question","reference_answer","expected_source","expected_page","question_type"
"What communication approach does GitLab use as a starting point for remote work?","GitLab uses asynchronous communication as a starting point for remote work.","gitlab_communication_handbook.pdf","1","factual_lookup"
"Does the Support Team use Service Desk for global support?","No. The Support Team Handbook says GitLab Support uses Service Desk to process Personal Data Requests but not for global support, because Service Desk is primarily for small teams soliciting bug reports, feature requests, or general feedback.","gitlab_support_team_handbook.pdf","4","ambiguous_edge"
"What is the difference between the spt and support Slack channel prefixes?","Channels with the spt prefix are mainly internal Support Team channels, while channels with the support prefix are public interfaces where other teams interact with Support.","gitlab_support_team_handbook.pdf","6","ambiguous_edge"
"How are most People Business Partner requests to People Operations handled?","Most People Business Partner requests are handled through HelpLab. The People Operations Team self-assigns a task within 24 hours and comments in Slack or HelpLab to confirm.","gitlab_people_group.pdf","4","policy_procedure"
"What warning is given about merging tickets?","Any attached files in tickets being merged are shared across the tickets, and everyone CCed on both tickets receives the files. Support should also message the user explaining what was done and why.","gitlab_customer_service_guidance.pdf","2","customer_support_behavior"
"What are the four GitLab Support on-call rotations listed?","The four rotations are Communications Manager on-call, Customer Emergencies on-call, US Government Emergencies, and Support Leader on the Hook.","gitlab_support_on_call_guide.pdf","1","factual_lookup"
"What is the source of truth for Support on-call hours and escalation policies?","PagerDuty is the single source of truth for Support on-call hours, rotation order, and escalation policies.","gitlab_support_on_call_guide.pdf","3","policy_procedure"
"What examples are given for urgent security incidents?","Examples include lost or stolen devices, leaked credentials, endpoint compromise or infection, and exposure of sensitive GitLab data.","gitlab_security_at_gitlab.pdf","3","policy_procedure"
"How does Service Desk turn customer email into GitLab work?","Customers can email bug reports, feature requests, or feedback to a unique email address. Those emails become new tickets in the GitLab project, where the team can respond while customers interact by email.","gitlab_service_desk_docs.pdf","1","product_technical_documentation"
"How should a team decide between using Service Desk product docs and the Support Team Handbook?","Use the Service Desk product documentation for how the feature works, such as email-created tickets, and use the Support Team Handbook for how GitLab Support chooses to use or not use that feature operationally.","gitlab_support_team_handbook.pdf","4","multi_document_reasoning"
"What should be done if important support process decisions happen in Slack?","Move important information out of Slack into durable records. The communication handbook says Slack should not store official company records or decisions, and the Support handbook says important information should move into handbooks, product docs, issue trackers, or customer tickets.","gitlab_communication_handbook.pdf","27","multi_document_reasoning"
"What real API key should be used to validate this case study?","The answer is not available in the provided documents.","none","none","unanswerable"
