"question","reference_answer","expected_source","expected_page","question_type"
"What communication approach does GitLab use as a starting point for remote work?","GitLab uses asynchronous communication as a starting point for remote work.","gitlab_communication_handbook.pdf","1","factual_lookup"
"What kinds of topics are listed as potentially GitLab sensitive?","The communication handbook lists examples such as team member data, violations or potential violations of policies or local rules, customer or partner information, and material nonpublic information.","gitlab_communication_handbook.pdf","3","policy_procedure"
"What language should written communication use, even one on one?","All written communication should happen in English, even when sent one on one.","gitlab_communication_handbook.pdf","4","policy_procedure"
"When possible, where should GitLab discussions happen instead of chat interruptions?","When possible, GitLab discussions should happen asynchronously in merge requests or issues instead of chat interruptions.","gitlab_communication_handbook.pdf","4","policy_procedure"
"Why does GitLab keep numbered items in agendas and documents?","Numbering is for ease of reference, so people can refer to items such as Item 3 or 4a; it is not a signal of importance unless explicitly stated.","gitlab_communication_handbook.pdf","6","factual_lookup"
"Who is responsible for meeting notes at GitLab and why?","Everyone involved in a meeting who has capacity should take notes. Meeting notes provide a single source of truth and enable asynchronous participation.","gitlab_communication_handbook.pdf","12","policy_procedure"
"What does GitLab say about starting meetings and interruptions in video calls?","Meetings start on time and do not wait for people. In video calls, everyone is encouraged to interrupt the speaker to ask questions or offer context so everyone can contribute.","gitlab_communication_handbook.pdf","19","policy_procedure"
"If a comment or email has multiple points, how should it be formatted?","The guidance says to number multiple points because numbered lists are easier to reference during discussion than bulleted lists.","gitlab_communication_handbook.pdf","23","ambiguous_edge"
"What is the difference between GitLab handbook pages and GitLab product documentation?","Handbook pages are part of the GitLab handbook, the central repository for how the company is run. GitLab Docs at docs.gitlab.com is where product documentation is found.","gitlab_communication_handbook.pdf","33","multi_document_reasoning"
"Who does the GitLab Support Team provide technical support to?","The Support Team provides technical support to GitLab.com and Self-Managed GitLab customers.","gitlab_support_team_handbook.pdf","1","factual_lookup"
"Why do Support Engineer responsibilities include contributing code and documentation?","Support engineers use knowledge from customer interactions to make products or documentation better, solving problems before they become support cases and improving efficiency across GitLab.","gitlab_support_team_handbook.pdf","2","multi_document_reasoning"
"Does the Support Team use Service Desk for global support?","No. The Support Team Handbook says GitLab Support uses Service Desk to process Personal Data Requests but not for global support, because Service Desk is primarily for small teams soliciting bug reports, feature requests, or general feedback.","gitlab_support_team_handbook.pdf","4","ambiguous_edge"
"Where should important Support Slack information be moved?","Because only 90 days of Slack activity are retained, important information should be moved into the team handbook, product documentation, issue trackers, or customer tickets.","gitlab_support_team_handbook.pdf","6","policy_procedure"
"What is the difference between the spt and support Slack channel prefixes?","Channels with the spt prefix are mainly internal Support Team channels, while channels with the support prefix are public interfaces where other teams interact with Support.","gitlab_support_team_handbook.pdf","6","ambiguous_edge"
"What is the People Group vision?","The People Group works to establish a high performance, results-driven culture where a diverse and inclusive team can experience a meaningful career.","gitlab_people_group.pdf","1","factual_lookup"
"How should team members request emergency support from GitLab People team?","They should create a case in HelpLab. HelpLab is monitored during most working hours and is the centralized support platform for people-related queries.","gitlab_people_group.pdf","2","policy_procedure"
"How are violations reported according to the People Group page?","The page says GitLab engaged Navex to provide EthicsPoint, a confidential reporting tool and anonymous ethics hotline for all team members.","gitlab_people_group.pdf","2","policy_procedure"
"How are most People Business Partner requests to People Operations handled?","Most People Business Partner requests are handled through HelpLab. The People Operations Team self-assigns a task within 24 hours and comments in Slack or HelpLab to confirm.","gitlab_people_group.pdf","4","policy_procedure"
"When a customer asks a question, what should Support first try to understand?","Support should fully understand the reason for the question and the end result the customer wants, and should feel comfortable asking why.","gitlab_customer_service_guidance.pdf","1","customer_support_behavior"
"Why should Support check a customer's business impact early?","Checking business impact early helps prevent a ticket from becoming an escalation and helps set expectations around the customer's timescales.","gitlab_customer_service_guidance.pdf","1","customer_support_behavior"
"What should Support do when putting a ticket On-Hold?","Support should tell the user when to expect a follow-up, invite them to say if the schedule does not meet their needs, and aim to provide updates daily and no less than every four days.","gitlab_customer_service_guidance.pdf","1","customer_support_behavior"
"Should Support promise that a feature or fix will ship in a milestone?","No. Even if an issue has an assigned milestone, Support should not promise that it will ship in the indicated release.","gitlab_customer_service_guidance.pdf","1","customer_support_behavior"
"What warning is given about merging tickets?","Any attached files in tickets being merged are shared across the tickets, and everyone CCed on both tickets receives the files. Support should also message the user explaining what was done and why.","gitlab_customer_service_guidance.pdf","2","customer_support_behavior"
"How should Support handle a request forwarded by a GitLab team member?","Support should reply directly to the original requester, keep the person who forwarded it in CC, and manually change the Requester field of the ticket.","gitlab_customer_service_guidance.pdf","3","customer_support_behavior"
"Why should Support document research notes in tickets?","Research notes document work across the ticket lifecycle, help engineers track progress, give colleagues context on what has been tried, and make reassignment smoother.","gitlab_customer_service_guidance.pdf","3","customer_support_behavior"
"What are the four GitLab Support on-call rotations listed?","The four rotations are Communications Manager on-call, Customer Emergencies on-call, US Government Emergencies, and Support Leader on the Hook.","gitlab_support_on_call_guide.pdf","1","factual_lookup"
"What is the source of truth for Support on-call hours and escalation policies?","PagerDuty is the single source of truth for Support on-call hours, rotation order, and escalation policies.","gitlab_support_on_call_guide.pdf","3","policy_procedure"
"During the 30 minute break, what should be discussed with the incoming CEOC?","The outgoing and incoming CEOC should discuss the customer problem, activities performed, ruled-out theories, current theory, unconsidered options, escalation need, next steps, and assumptions.","gitlab_support_on_call_guide.pdf","6","policy_procedure"
"What on-call mobile expenses may be reimbursed?","A team member may expense the cost of mobile phone service for any month they perform on-call duties, limited to service cost itself and not the phone device, hotspot device, or services for other people on the plan.","gitlab_support_on_call_guide.pdf","8","ambiguous_edge"
"What are GitLab Security's vision and mission?","The Security vision is to transparently lead the world to secure outcomes. The mission is to enable everyone to innovate and succeed on a safe, secure, and trusted DevSecOps platform.","gitlab_security_at_gitlab.pdf","1","factual_lookup"
"What examples are given for urgent security incidents?","Examples include lost or stolen devices, leaked credentials, endpoint compromise or infection, and exposure of sensitive GitLab data.","gitlab_security_at_gitlab.pdf","3","policy_procedure"
"What Service Desk tiers and offerings are listed?","Service Desk is listed for Free, Premium, and Ultimate tiers and for GitLab.com and GitLab Self-Managed offerings.","gitlab_service_desk_docs.pdf","1","product_technical_documentation"
"How does Service Desk turn customer email into GitLab work?","Customers can email bug reports, feature requests, or feedback to a unique email address. Those emails become new tickets in the GitLab project, where the team can respond while customers interact by email.","gitlab_service_desk_docs.pdf","1","product_technical_documentation"
"What troubleshooting cause is listed when emails to Service Desk do not create tickets?","Emails might be ignored because they contain email headers that GitLab ignores, or dropped when a strict DKIM sender domain causes verification failure during forwarding.","gitlab_service_desk_docs.pdf","2","product_technical_documentation"
"How should a team decide between using Service Desk product docs and the Support Team Handbook?","Use the Service Desk product documentation for how the feature works, such as email-created tickets, and use the Support Team Handbook for how GitLab Support chooses to use or not use that feature operationally.","gitlab_support_team_handbook.pdf","4","multi_document_reasoning"
"What should be done if important support process decisions happen in Slack?","Move important information out of Slack into durable records. The communication handbook says Slack should not store official company records or decisions, and the Support handbook says important information should move into handbooks, product docs, issue trackers, or customer tickets.","gitlab_communication_handbook.pdf","27","multi_document_reasoning"
"What real API key should be used to validate this case study?","The answer is not available in the provided documents.","none","none","unanswerable"
"What is the private phone number of GitLab's CEO?","The answer is not available in the provided documents.","none","none","unanswerable"
"Which GitLab customer account has the highest annual spend?","The answer is not available in the provided documents.","none","none","unanswerable"
"What are the current live PagerDuty assignees for today's Support rotations?","The answer is not available in the provided documents.","none","none","unanswerable"
